Date,Price,Open,High,Low,Volume,Chg%
"Aug 12, 2014",61.085,61.125,61.225,61.075,0,-0.15%
"Aug 11, 2014",61.175,61.085,61.265,61.025,0,0.05%
"Aug 08, 2014",61.145,61.245,61.745,61.135,0,-0.16%
"Aug 07, 2014",61.245,61.405,61.555,61.215,0,-0.41%
"Aug 6, 2014",61.5,61.035,61.525,61.025,0,1.07%
"Aug 5, 2014",60.85,60.885,61.005,60.695,0,-0.16%
"Aug 4, 2014",60.945,61.205,61.205,60.875,0,-0.44%
"Aug 1, 2014",61.215,60.755,61.225,60.7,0,1.09%
"Jul 31, 2014",60.555,60.245,60.565,60.205,0,0.82%
"Jul 30, 2014",60.065,60.245,60.245,60.052,0,-0.11%
"Jul 29, 2014",60.13,60.125,60.14,60.1,0,0.07%
"Jul 28, 2014",60.09,60.055,60.17,60.055,0,0.05%
"Jul 25, 2014",60.06,60.055,60.195,60.01,0,-0.11%
"Jul 24, 2014",60.125,59.965,60.165,59.935,0,0.17%
"Jul 23, 2014",60.02,60.145,60.21,59.96,0,-0.14%
"Jul 22, 2014",60.105,60.265,60.305,60.1,0,-0.23%
"Jul 21, 2014",60.245,60.285,60.34,60.165,0,-0.07%
"Jul 18, 2014",60.285,60.385,60.455,60.245,0,0.17%
"Jul 17, 2014",60.185,60.025,60.2,60.025,0,0.10%
"Jul 16, 2014",60.125,60.235,60.275,60.09,0,0.00%
"Jul 15, 2014",60.125,60.045,60.25,60.005,0,0.00%
"Jul 14, 2014",60.125,59.97,60.215,59.915,0,0.05%
"Jul 11, 2014",60.095,60.115,60.315,59.925,0,-0.17%
"Jul 10, 2014",60.195,59.685,60.225,59.575,0,0.72%
"Jul 09, 2014",59.765,59.755,59.95,59.685,0,0.02%
"Jul 08, 2014",59.755,59.955,60.005,59.665,0,-0.33%
"Jul 07, 2014",59.955,59.815,60.06,59.735,0,0.39%
"Jul 4, 2014",59.725,59.745,59.83,59.645,0,-0.03%
"Jul 3, 2014",59.74,59.675,59.85,59.53,0,0.08%
"Jul 2, 2014",59.692,60.035,60.095,59.59,0,-0.61%
"Jul 1, 2014",60.06,60.085,60.2,60.06,0,0.00%
"Jun 30, 2014",60.06,60.045,60.28,60.005,0,0.02%
"Jun 27, 2014",60.045,60.21,60.21,60.045,0,-0.27%
"Jun 26, 2014",60.21,60.035,60.26,60.035,0,0.21%
"Jun 25, 2014",60.085,60.255,60.4,60.085,0,-0.12%
"Jun 24, 2014",60.16,60.09,60.175,60.08,0,0.00%
"Jun 23, 2014",60.16,60.065,60.305,60.015,0,-0.02%
"Jun 20, 2014",60.175,60.235,60.345,60.135,0,0.13%
"Jun 19, 2014",60.095,60.225,60.225,59.855,0,-0.34%
"Jun 18, 2014",60.3,60.215,60.545,60.065,0,-0.05%
"Jun 17, 2014",60.33,60.115,60.525,60.035,0,0.24%
"Jun 16, 2014",60.185,59.715,60.24,59.715,0,0.80%
"Jun 13, 2014",59.71,59.31,59.81,59.3,0,0.70%
